algo,heuristic,epsilon,difficulty,instance_id,solved,cost,optimal_cost,subopt_ratio,nodes_expanded,nodes_generated,elapsed_ms
weighted_astar,manhattan,1.1,easy,0,True,16,16,1.0,37,83,0.29
weighted_astar,manhattan,1.1,easy,1,True,16,16,1.0,58,125,0.36
weighted_astar,manhattan,1.1,easy,2,True,22,22,1.0,101,215,0.62
weighted_astar,manhattan,1.1,medium,0,True,30,30,1.0,1546,3082,12.79
weighted_astar,manhattan,1.1,medium,1,True,33,33,1.0,12860,25178,87.09
weighted_astar,manhattan,1.1,medium,2,True,31,31,1.0,5455,10798,34.29
focal_search,manhattan,1.1,easy,0,True,16,16,1.0,66,83,0.53
focal_search,manhattan,1.1,easy,1,True,16,16,1.0,70,125,1.05
focal_search,manhattan,1.1,easy,2,True,22,22,1.0,80,166,1.07
focal_search,manhattan,1.1,medium,0,True,30,30,1.0,2288,3082,25.02
focal_search,manhattan,1.1,medium,1,True,33,33,1.0,19781,25178,198.78
focal_search,manhattan,1.1,medium,2,True,31,31,1.0,8618,10798,116.17
ees,manhattan,1.1,easy,0,True,16,16,1.0,143,167,1.42
ees,manhattan,1.1,easy,1,True,16,16,1.0,63,76,0.65
ees,manhattan,1.1,easy,2,True,22,22,1.0,103,201,2.37
ees,manhattan,1.1,medium,0,True,30,30,1.0,3674,6545,63.29
ees,manhattan,1.1,medium,1,True,33,33,1.0,30227,53391,510.25
ees,manhattan,1.1,medium,2,True,31,31,1.0,7211,10639,108.93
weighted_astar,manhattan,1.5,easy,0,True,16,16,1.0,20,48,0.14
weighted_astar,manhattan,1.5,easy,1,True,16,16,1.0,72,154,0.75
weighted_astar,manhattan,1.5,easy,2,True,22,22,1.0,184,388,1.34
weighted_astar,manhattan,1.5,medium,0,True,32,30,1.0667,388,791,2.41
weighted_astar,manhattan,1.5,medium,1,True,37,33,1.1212,7429,14860,54.62
weighted_astar,manhattan,1.5,medium,2,True,31,31,1.0,840,1726,5.16
focal_search,manhattan,1.5,easy,0,True,16,16,1.0,20,48,0.55
focal_search,manhattan,1.5,easy,1,True,16,16,1.0,290,611,3.23
focal_search,manhattan,1.5,easy,2,True,26,22,1.1818,103,223,1.07
focal_search,manhattan,1.5,medium,0,True,32,30,1.0667,930,1898,9.44
focal_search,manhattan,1.5,medium,1,True,33,33,1.0,4832,9747,49.47
focal_search,manhattan,1.5,medium,2,True,33,31,1.0645,18567,36484,293.11
ees,manhattan,1.5,easy,0,True,16,16,1.0,20,48,0.36
ees,manhattan,1.5,easy,1,True,16,16,1.0,290,611,5.71
ees,manhattan,1.5,easy,2,True,26,22,1.1818,103,223,2.05
ees,manhattan,1.5,medium,0,True,32,30,1.0667,1036,2116,17.43
ees,manhattan,1.5,medium,1,True,33,33,1.0,4896,9870,81.52
ees,manhattan,1.5,medium,2,True,31,31,1.0,2012,4050,35.13
weighted_astar,manhattan,2.0,easy,0,True,16,16,1.0,20,48,0.15
weighted_astar,manhattan,2.0,easy,1,True,16,16,1.0,148,319,0.91
weighted_astar,manhattan,2.0,easy,2,True,26,22,1.1818,195,428,1.19
weighted_astar,manhattan,2.0,medium,0,True,32,30,1.0667,557,1125,3.27
weighted_astar,manhattan,2.0,medium,1,True,39,33,1.1818,2594,5319,17.05
weighted_astar,manhattan,2.0,medium,2,True,33,31,1.0645,346,737,3.33
focal_search,manhattan,2.0,easy,0,True,16,16,1.0,20,48,0.34
focal_search,manhattan,2.0,easy,1,True,28,16,1.75,2266,4596,28.95
focal_search,manhattan,2.0,easy,2,True,34,22,1.5455,1473,3053,17.04
focal_search,manhattan,2.0,medium,0,True,44,30,1.4667,13586,27028,153.06
focal_search,manhattan,2.0,medium,1,True,45,33,1.3636,24481,48889,290.87
focal_search,manhattan,2.0,medium,2,True,41,31,1.3226,202,443,2.34
ees,manhattan,2.0,easy,0,True,16,16,1.0,20,48,0.34
ees,manhattan,2.0,easy,1,True,28,16,1.75,2287,4639,36.72
ees,manhattan,2.0,easy,2,True,34,22,1.5455,1524,3156,25.58
ees,manhattan,2.0,medium,0,True,44,30,1.4667,14352,28483,240.17
ees,manhattan,2.0,medium,1,True,45,33,1.3636,30127,59948,525.79
ees,manhattan,2.0,medium,2,True,41,31,1.3226,202,443,3.63
weighted_astar,manhattan,3.0,easy,0,True,16,16,1.0,20,48,0.19
weighted_astar,manhattan,3.0,easy,1,True,16,16,1.0,518,1087,3.97
weighted_astar,manhattan,3.0,easy,2,True,26,22,1.1818,319,699,2.07
weighted_astar,manhattan,3.0,medium,0,True,44,30,1.4667,1979,4049,13.59
weighted_astar,manhattan,3.0,medium,1,True,49,33,1.4848,1796,3699,11.46
weighted_astar,manhattan,3.0,medium,2,True,33,31,1.0645,114,244,0.7
focal_search,manhattan,3.0,easy,0,True,16,16,1.0,20,48,0.29
focal_search,manhattan,3.0,easy,1,True,30,16,1.875,293,629,3.68
focal_search,manhattan,3.0,easy,2,True,42,22,1.9091,1657,3412,21.17
focal_search,manhattan,3.0,medium,0,True,66,30,2.2,832,1763,10.87
focal_search,manhattan,3.0,medium,1,True,57,33,1.7273,370,791,4.49
focal_search,manhattan,3.0,medium,2,True,47,31,1.5161,337,736,5.43
ees,manhattan,3.0,easy,0,True,16,16,1.0,20,48,0.34
ees,manhattan,3.0,easy,1,True,30,16,1.875,293,629,4.56
ees,manhattan,3.0,easy,2,True,42,22,1.9091,1871,3849,31.69
ees,manhattan,3.0,medium,0,True,66,30,2.2,907,1931,15.59
ees,manhattan,3.0,medium,1,True,57,33,1.7273,370,791,5.85
ees,manhattan,3.0,medium,2,True,47,31,1.5161,349,762,8.16
weighted_astar,linear_conflict,1.1,easy,0,True,16,16,1.0,23,53,1.69
weighted_astar,linear_conflict,1.1,easy,1,True,16,16,1.0,17,39,1.3
weighted_astar,linear_conflict,1.1,easy,2,True,22,22,1.0,28,66,2.15
weighted_astar,linear_conflict,1.1,medium,0,True,30,30,1.0,621,1257,21.93
weighted_astar,linear_conflict,1.1,medium,1,True,33,33,1.0,4867,9587,197.41
weighted_astar,linear_conflict,1.1,medium,2,True,31,31,1.0,3163,6366,94.08
focal_search,linear_conflict,1.1,easy,0,True,16,16,1.0,38,53,1.68
focal_search,linear_conflict,1.1,easy,1,True,16,16,1.0,17,39,1.09
focal_search,linear_conflict,1.1,easy,2,True,22,22,1.0,28,66,1.88
focal_search,linear_conflict,1.1,medium,0,True,30,30,1.0,946,1257,50.97
focal_search,linear_conflict,1.1,medium,1,True,33,33,1.0,7402,9587,381.57
focal_search,linear_conflict,1.1,medium,2,True,31,31,1.0,5042,6366,279.33
ees,linear_conflict,1.1,easy,0,True,16,16,1.0,66,79,3.69
ees,linear_conflict,1.1,easy,1,True,16,16,1.0,17,39,1.85
ees,linear_conflict,1.1,easy,2,True,22,22,1.0,28,66,3.9
ees,linear_conflict,1.1,medium,0,True,30,30,1.0,1621,2823,140.55
ees,linear_conflict,1.1,medium,1,True,33,33,1.0,10834,19216,976.09
ees,linear_conflict,1.1,medium,2,True,31,31,1.0,4239,6266,334.86
weighted_astar,linear_conflict,1.5,easy,0,True,16,16,1.0,19,45,0.67
weighted_astar,linear_conflict,1.5,easy,1,True,16,16,1.0,17,39,0.56
weighted_astar,linear_conflict,1.5,easy,2,True,22,22,1.0,28,66,1.02
weighted_astar,linear_conflict,1.5,medium,0,True,32,30,1.0667,165,346,5.01
weighted_astar,linear_conflict,1.5,medium,1,True,37,33,1.1212,1680,3403,50.58
weighted_astar,linear_conflict,1.5,medium,2,True,31,31,1.0,525,1101,16.03
focal_search,linear_conflict,1.5,easy,0,True,16,16,1.0,19,45,2.41
focal_search,linear_conflict,1.5,easy,1,True,16,16,1.0,17,39,1.37
